init start
company_info exists 
daily_price exists 
Not first trial
codes's size is [2449]
[2021-06-03 10:00] #0243 REPLACE INTO company_info VALUES (037070, 파세코, 2021-06-03)
[2021-06-03 10:00] #0244 REPLACE INTO company_info VALUES (047310, 파워로직스, 2021-06-03)
[2021-06-03 10:00] #0245 REPLACE INTO company_info VALUES (065690, 파커스, 2021-06-03)
[2021-06-03 10:00] #0246 REPLACE INTO company_info VALUES (225590, 패션플랫폼, 2021-06-03)
[2021-06-03 10:00] #0247 REPLACE INTO company_info VALUES (256630, 포인트엔지니어링, 2021-06-03)
[2021-06-03 10:00] #0248 REPLACE INTO company_info VALUES (005670, 푸드웰, 2021-06-03)
[2021-06-03 10:00] #0249 REPLACE INTO company_info VALUES (203690, 프로스테믹스, 2021-06-03)
[2021-06-03 10:00] #0250 REPLACE INTO company_info VALUES (032580, 피델릭스, 2021-06-03)
[2021-06-03 10:00] #0251 REPLACE INTO company_info VALUES (024850, 피에스엠씨, 2021-06-03)
[2021-06-03 10:00] #0252 REPLACE INTO company_info VALUES (006140, 피제이전자, 2021-06-03)
[2021-06-03 10:00] #0253 REPLACE INTO company_info VALUES (341160, 하나금융15호스팩, 2021-06-03)
[2021-06-03 10:00] #0254 REPLACE INTO company_info VALUES (299030, 하나기술, 2021-06-03)
[2021-06-03 10:00] #0255 REPLACE INTO company_info VALUES (221840, 하이즈항공, 2021-06-03)
[2021-06-03 10:00] #0256 REPLACE INTO company_info VALUES (039340, 한국경제TV, 2021-06-03)
[2021-06-03 10:00] #0257 REPLACE INTO company_info VALUES (222980, 한국맥널티, 2021-06-03)
[2021-06-03 10:00] #0258 REPLACE INTO company_info VALUES (025550, 한국선재, 2021-06-03)
[2021-06-03 10:00] #0259 REPLACE INTO company_info VALUES (053590, 한국테크놀로지, 2021-06-03)
[2021-06-03 10:00] #0260 REPLACE INTO company_info VALUES (070590, 한솔인티큐브, 2021-06-03)
[2021-06-03 10:00] #0261 REPLACE INTO company_info VALUES (319400, 현대무벡스, 2021-06-03)
[2021-06-03 10:00] #0262 REPLACE INTO company_info VALUES (048410, 현대바이오, 2021-06-03)
[2021-06-03 10:00] #0263 REPLACE INTO company_info VALUES (052260, 현대바이오랜드, 2021-06-03)
[2021-06-03 10:00] #0264 REPLACE INTO company_info VALUES (039610, 화성밸브, 2021-06-03)
[2021-06-03 10:00] #0265 REPLACE INTO company_info VALUES (115160, 휴맥스, 2021-06-03)
[2021-06-03 10:00] #0266 REPLACE INTO company_info VALUES (037440, 희림, 2021-06-03)
[2021-06-03 10:00] #0267 REPLACE INTO company_info VALUES (183410, 골프존데카, 2021-06-03)
